instance,family,strategy,feasible,vehicle_count,total_distance,total_waiting,total_load,capacity_vehicle_lower_bound,vehicle_excess_over_capacity_lb,duplicate_customers,missing_customers,infeasible_routes,runtime_seconds,new_routes_created
R2_10_6,R2,largest_demand,True,24,93688.87539619938,50082.27741307034,18118.0,19,5,0,0,0,3.3645131000084803,24
R2_10_6,R2,farthest_from_depot,True,20,63263.32289809334,56824.8816923301,18118.0,19,1,0,0,0,3.237979199970141,20
R2_10_7,R2,earliest_due,True,19,59785.126030748375,21501.55987399831,18118.0,19,0,0,0,0,3.103456199984066,19
R2_10_7,R2,earliest_ready,True,23,61152.42468965628,39028.89909832424,18118.0,19,4,0,0,0,2.927662399946712,23
R2_10_7,R2,largest_demand,True,24,80566.4300710784,58897.069699062995,18118.0,19,5,0,0,0,3.1738284999737516,24
R2_10_7,R2,farthest_from_depot,True,19,51962.54070211852,57915.37062169686,18118.0,19,0,0,0,0,2.9769673999398947,19
R2_10_8,R2,earliest_due,True,19,44764.22549534137,12841.878081087812,18118.0,19,0,0,0,0,2.7547576000215486,19
R2_10_8,R2,earliest_ready,True,21,49066.71003637029,25166.1483182094,18118.0,19,2,0,0,0,2.933399199973792,21
R2_10_8,R2,largest_demand,True,22,77732.72615545735,47124.53413236303,18118.0,19,3,0,0,0,2.844165400019847,22
R2_10_8,R2,farthest_from_depot,True,20,46980.3810210681,62319.35153053512,18118.0,19,1,0,0,0,2.786682500038296,20
R2_10_9,R2,earliest_due,True,24,68881.72779331851,64911.094968516365,18118.0,19,5,0,0,0,3.670853199902922,24
R2_10_9,R2,earliest_ready,True,25,66868.94413745982,72129.00183172603,18118.0,19,6,0,0,0,3.6642938000150025,25
R2_10_9,R2,largest_demand,True,26,100699.5598961304,53413.20768815497,18118.0,19,7,0,0,0,3.134075800073333,26
R2_10_9,R2,farthest_from_depot,True,19,64959.90033775528,49091.31583967688,18118.0,19,0,0,0,0,3.1164783999556676,19
R2_10_10,R2,earliest_due,True,24,69192.73455791015,56765.53729059112,18118.0,19,5,0,0,0,3.369027499924414,24
R2_10_10,R2,earliest_ready,True,25,72453.18871294755,60709.656826299884,18118.0,19,6,0,0,0,3.369352600071579,25
R2_10_10,R2,largest_demand,True,24,108895.2046948708,32390.40009646247,18118.0,19,5,0,0,0,4.036841999972239,24
R2_10_10,R2,farthest_from_depot,True,19,66409.75066984988,46215.12360845224,18118.0,19,0,0,0,0,3.108404500060715,19
RC1_10_1,RC1,earliest_due,True,95,65897.93195655182,50144.064148344114,17822.0,90,5,0,0,0,5.414128400036134,95
RC1_10_1,RC1,earliest_ready,True,95,65897.93195655182,50144.064148344114,17822.0,90,5,0,0,0,5.781355699989945,95
RC1_10_1,RC1,largest_demand,True,131,80799.167329552,75738.80485915238,17822.0,90,41,0,0,0,5.141139100072905,131
RC1_10_1,RC1,farthest_from_depot,True,102,56997.116158895835,72585.91689930175,17822.0,90,12,0,0,0,4.222657400066964,102
RC1_10_2,RC1,earliest_due,True,91,75846.89078668007,44920.363453306985,17822.0,90,1,0,0,0,4.839645699947141,91
RC1_10_2,RC1,earliest_ready,True,101,76893.99010842024,43707.26250730865,17822.0,90,11,0,0,0,4.713493599905632,101
RC1_10_2,RC1,largest_demand,True,122,82112.53640660984,65953.06623907152,17822.0,90,32,0,0,0,4.74022029992193,122
RC1_10_2,RC1,farthest_from_depot,True,100,55731.2084041377,67134.73861752679,17822.0,90,10,0,0,0,4.483011799980886,100
RC1_10_3,RC1,earliest_due,True,91,80428.83867934409,31838.666846403266,17822.0,90,1,0,0,0,4.695384500082582,91
RC1_10_3,RC1,earliest_ready,True,106,87837.92095834583,35209.851090196134,17822.0,90,16,0,0,0,4.123705600039102,106
RC1_10_3,RC1,largest_demand,True,112,84702.3319838994,41057.5038341808,17822.0,90,22,0,0,0,4.6019950999179855,112
RC1_10_3,RC1,farthest_from_depot,True,96,58155.736249216476,57359.68978187933,17822.0,90,6,0,0,0,4.266157200094312,96
RC1_10_4,RC1,earliest_due,True,91,88138.05460979813,19574.586023413787,17822.0,90,1,0,0,0,4.009791699936613,91
RC1_10_4,RC1,earliest_ready,True,109,98147.61336529085,26835.451596444393,17822.0,90,19,0,0,0,4.112863100017421,109
RC1_10_4,RC1,largest_demand,True,99,98371.41725434837,23766.126754203226,17822.0,90,9,0,0,0,4.552921900060028,99
RC1_10_4,RC1,farthest_from_depot,True,92,88172.75488891064,28423.73336259431,17822.0,90,2,0,0,0,4.153050799970515,92
RC1_10_5,RC1,earliest_due,True,98,64014.692793624694,49995.21729843679,17822.0,90,8,0,0,0,5.534334299969487,98
RC1_10_5,RC1,earliest_ready,True,111,65739.36527883062,62610.28777229331,17822.0,90,21,0,0,0,5.797919099917635,111
RC1_10_5,RC1,largest_demand,True,126,82496.62855529612,68410.88552909603,17822.0,90,36,0,0,0,5.013065499952063,126
RC1_10_5,RC1,farthest_from_depot,True,99,57590.43824294242,71138.83611585665,17822.0,90,9,0,0,0,4.352461000089534,99
RC1_10_6,RC1,earliest_due,True,96,66800.87551999696,49584.990455806794,17822.0,90,6,0,0,0,5.380488700000569,96
RC1_10_6,RC1,earliest_ready,True,96,66800.87551999696,49584.990455806794,17822.0,90,6,0,0,0,5.218749699997716,96
RC1_10_6,RC1,largest_demand,True,124,81017.01124532436,68372.06989869065,17822.0,90,34,0,0,0,4.900097799953073,124
RC1_10_6,RC1,farthest_from_depot,True,98,57845.9967095586,67186.63531388999,17822.0,90,8,0,0,0,4.245519599993713,98
RC1_10_7,RC1,earliest_due,True,93,67572.7277453219,46730.64916367235,17822.0,90,3,0,0,0,5.317998199956492,93
RC1_10_7,RC1,earliest_ready,True,103,66043.51812966092,54054.8424297098,17822.0,90,13,0,0,0,5.568399499985389,103
RC1_10_7,RC1,largest_demand,True,119,81376.3710600782,63631.994300645594,17822.0,90,29,0,0,0,4.860058299964294,119
RC1_10_7,RC1,farthest_from_depot,True,95,60794.843788681064,60367.15934358196,17822.0,90,5,0,0,0,4.133390199975111,95
RC1_10_8,RC1,earliest_due,True,98,72381.65750090613,43950.45238739256,17822.0,90,8,0,0,0,4.954536300036125,98
RC1_10_8,RC1,earliest_ready,True,96,69466.6521560359,40616.23059983959,17822.0,90,6,0,0,0,5.091909399954602,96
RC1_10_8,RC1,largest_demand,True,113,86054.7639536952,52360.17081624126,17822.0,90,23,0,0,0,4.689143600058742,113
RC1_10_8,RC1,farthest_from_depot,True,93,60640.048481987935,55089.13718867913,17822.0,90,3,0,0,0,3.9371037000091746,93
RC1_10_9,RC1,earliest_due,True,96,70518.68244532697,38960.23384612888,17822.0,90,6,0,0,0,5.126212799921632,96
RC1_10_9,RC1,earliest_ready,True,96,70518.68244532697,38960.23384612888,17822.0,90,6,0,0,0,4.786654899944551,96
RC1_10_9,RC1,largest_demand,True,113,88166.79384614393,49156.78705118574,17822.0,90,23,0,0,0,4.653671799926087,113
RC1_10_9,RC1,farthest_from_depot,True,93,61642.72276358449,57153.09722463724,17822.0,90,3,0,0,0,3.903997699962929,93
RC1_10_10,RC1,earliest_due,True,97,70411.42198836587,37010.63989763911,17822.0,90,7,0,0,0,4.871452399995178,97
RC1_10_10,RC1,earliest_ready,True,97,70411.42198836587,37010.63989763911,17822.0,90,7,0,0,0,4.617378700058907,97
RC1_10_10,RC1,largest_demand,True,109,88621.17539627873,41480.93464162062,17822.0,90,19,0,0,0,4.6808107000542805,109
RC1_10_10,RC1,farthest_from_depot,True,93,63812.50090200373,52098.79101129472,17822.0,90,3,0,0,0,3.9147723000496626,93
RC2_10_1,RC2,earliest_due,True,28,50566.398909330586,94709.99922676188,17822.0,18,10,0,0,0,4.319418900064193,28
RC2_10_1,RC2,earliest_ready,True,28,50566.398909330586,94709.99922676188,17822.0,18,10,0,0,0,4.500800100038759,28
